name,key_word,sn,reviews
Modelling Microbial Communities with Graph Neural Networks,"['graph neural networks', ' microbial communities', ' microbiology', ' genomes']",9504,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 2, 1], 'rate': 6, 'confidence': 3}, {'mark': [3, 4, 3], 'rate': 6, 'confidence': 3}]"
TabR: Tabular Deep Learning Meets Nearest Neighbors in 2023,"['tabular', ' tabular data', ' architecture', ' deep learning', ' neural networks']",9502,"[{'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [4, 4, 2], 'rate': 6, 'confidence': 2}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 4}]"
Neural Evolutionary Kernel Method: A Knowledge-Based Learning Architechture for Evolutionary PDEs,"['Numerical PDE', ' structure preserving neural network', ' operator learning', ' boundary integral']",9498,"[{'mark': [2, 3, 3], 'rate': 6, 'confidence': 2}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 3}]"
PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks for Solving PDEs,"['PINN', ' machine learning', ' physics-informed machine learning']",9493,"[{'mark': [3, 3, 3], 'rate': 5, 'confidence': 3}, {'mark': [4, 4, 4], 'rate': 6, 'confidence': 3}, {'mark': [2, 4, 1], 'rate': 1, 'confidence': 5}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}]"
SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,"['Graph Neural Networks', ' Higher-order Representation Learning', ' Simplicial Complexes', ' Simplicial Neural Networks', ' Weisfeiler-Lehman Isomorphism Test']",9491,"[{'mark': [4, 3, 4], 'rate': 8, 'confidence': 4}, {'mark': [3, 4, 3], 'rate': 8, 'confidence': 2}, {'mark': [4, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}]"
FR-NAS: Forward-and-Reverse Graph Predictor for Efficient Neural Architecture Search,"['Neural Architecture Search', ' Performance Predictor', ' Graph Neural Network']",9483,"[{'mark': [3, 3, 2], 'rate': 3, 'confidence': 5}, {'mark': [2, 2, 1], 'rate': 3, 'confidence': 5}, {'mark': [3, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 4}]"
Boosting of Thoughts: Trial-and-Error Problem Solving with Large Language Models,['Large Language Models; Prompt Engineering; Boosting Mechanism;'],9482,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 2, 3], 'rate': 8, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 6, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}]"
Farzi Data: Autoregressive Data Distillation,"['Data Distillation', ' Meta Learning', ' Recommender Systems', ' Language Modeling']",9481,"[{'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [3, 4, 3], 'rate': 6, 'confidence': 4}, {'mark': [4, 4, 3], 'rate': 6, 'confidence': 3}, {'mark': [2, 2, 3], 'rate': 5, 'confidence': 2}, {'mark': [2, 2, 3], 'rate': 3, 'confidence': 4}]"
BATTLE: Towards Behavior-oriented Adversarial Attacks against Deep Reinforcement Learning,"['deep reinforcement learning', ' preference-based reinforcement learning', ' adversarial reinforcement learning']",9480,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 3], 'rate': 5, 'confidence': 4}]"
Understanding Large Language Models Through the Lens of Dataset Generation,"['Large Language Model', ' dataset generation']",9477,"[{'mark': [3, 4, 3], 'rate': 8, 'confidence': 4}, {'mark': [4, 3, 3], 'rate': 6, 'confidence': 4}, {'mark': [2, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 5}]"
Temporal Parallelization for GPU Acceleration of Spiking Neural Networks,"['Spiking neural networks', ' High-performance computing', ' GPU acceleration']",9476,"[{'mark': [1, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 1, 2], 'rate': 3, 'confidence': 5}]"
FSN: Feature Shift Network for Load-Domain Domain Generalization,"['Fault diagnosis', ' Deep learning', ' CNN', ' Domain Generalization', ' Load-domain Domain Generalization']",9472,"[{'mark': [2, 1, 1], 'rate': 3, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [1, 2, 1], 'rate': 3, 'confidence': 5}, {'mark': [2, 4, 2], 'rate': 6, 'confidence': 4}]"
"Ask Again, Then Fail: Large Language Models’ Vacillations in Judgement","['Large Language Models', ' Uncertainty', ' Evaluation', ' In-Context Learning', ' Alignment', ' Multi-round dialogue', ' Robustness']",9468,"[{'mark': [3, 4, 3], 'rate': 6, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 4}]"
Do Current Large Language Models Master Adequate Clinical Knowledge?,"['Large Language Model', ' Medical Large Language Model', ' Clinical Knowledge', ' Knowledge Graph']",9466,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 2}]"
SIMULTANEOUS GENERATION AND IMPROVEMENT: A UNIFIED RL PARADIGM FOR FJSP OPTIMIZATION,"['Reinforcement Learning', ' Flexible Job Shop Schedule Problem', ' FJSP']",9463,"[{'mark': [1, 1, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 2, 3], 'rate': 3, 'confidence': 3}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 3}, {'mark': [1, 1, 2], 'rate': 3, 'confidence': 4}]"
Model-Agnostic Shift-Equivariant Downsampling,"['Shift equivariance', ' Shift invariance', ' Downsampling', ' Convolutional neural networks']",9459,"[{'mark': [4, 2, 3], 'rate': 8, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 5, 'confidence': 4}, {'mark': [4, 3, 3], 'rate': 6, 'confidence': 4}]"
Visuo-emotional perception and Human Cognition to engineer content-generation using Generative AI,"['creative content', ' digital creatives', ' attention', ' personalization', ' content optimization', ' content generation', ' generative AI']",9458,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 2}, {'mark': [1, 3, 2], 'rate': 1, 'confidence': 5}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 2, 1], 'rate': 3, 'confidence': 3}]"
Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships,"['large language model', ' training data extraction', ' fine-tuning', ' pseudo-labeling with membership', ' privacy']",9456,"[{'mark': [3, 2, 3], 'rate': 6, 'confidence': 2}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 3], 'rate': 6, 'confidence': 3}]"
"FairPATE: Exposing the Pareto Frontier of Fairness, Privacy, Accuracy, and Coverage","['fairness', ' privacy', ' pate', ' pareto frontier']",9455,"[{'mark': [3, 4, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 1], 'rate': 3, 'confidence': 3}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}]"
Real-time computer vision on low-end boards via clustering motion vectors,"['Coreset', ' Motion vectors', ' Segments', ' Robotics', ' Structure from motion', ' non-convex optimization']",9453,"[{'mark': [2, 1, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 2, 3], 'rate': 6, 'confidence': 4}, {'mark': [1, 1, 2], 'rate': 1, 'confidence': 4}, {'mark': [1, 1, 2], 'rate': 3, 'confidence': 4}]"
Beyond Memorization: Violating Privacy via Inference with Large Language Models,"['Privacy', ' Large Language Models']",9451,"[{'mark': [3, 2, 3], 'rate': 6, 'confidence': 5}, {'mark': [3, 4, 3], 'rate': 6, 'confidence': 3}, {'mark': [4, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 2}, {'mark': [4, 3, 4], 'rate': 8, 'confidence': 4}]"
AdaLomo: Low-memory Optimization with Adaptive Learning Rate,"['Memory-efficient', ' Optimization', ' Large language models']",9450,"[{'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}, {'mark': [1, 1, 1], 'rate': 1, 'confidence': 5}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [1, 2, 1], 'rate': 3, 'confidence': 4}]"
Deep Network Partition Density Exhibits Double Descent,"['Double Descent', ' Partition Density', ' Linear Regions', ' Local Complexity']",9446,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}]"
Locality Sensitive Sparse Encoding for Learning World Models Online,"['model-based rl', ' online learning', ' incremental learning', ' catastrophic forgetting']",9441,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [2, 2, 3], 'rate': 5, 'confidence': 4}]"
